ID	TOPIC_ID	DOC_ID	USER_ID	POSITION_START	POSITION_END	TEXT	SOURCE	LINK_GROUP	COLOR	NUGGET_ID
565	2	3	8	0	54	An vielen Arbeitsplätzen sind Übergriffe und Drohungen		1	1	442
566	2	3	8	102	120	 eine reale Gefahr		1	1	442
567	2	3	8	141	209	Wie können Gewalttaten und Übergriffe verhindert oder beendet werden		-1	1	454
568	2	3	8	1129	1166	Junge Leute, die um die Gefahr wissen		2	1	443
569	2	3	8	1212	1258	haben bessere Chancen, Gewalttaten vorzubeugen		2	1	443
570	2	4	8	0	87	Neben persönlichem Mut gehört zur Zivilcourage der Einsatz für Humanität und Demokratie		-1	1	455
571	2	4	8	325	420	Die Schülerinnen und Schüler\n\n• kennen unterschiedliche Formen und Dimensionen von Zivilcourage		-1	1	466
572	2	4	8	1181	1241	Manchmal fehlt das Wissen, wie sinnvoll geholfen werden kann		-1	1	477
573	2	4	8	1243	1308	Manchmal überwiegt auch die Angst, sich selbst in Schwierigkeiten		3	1	444
574	2	4	8	1333	1343	zu bringen		3	1	444
575	2	5	8	0	20	Gewalt in der Schule		4	1	445
576	2	5	8	101	207	ist nach Meinung des Bildungsforschers Klaus Hurrelmann "Teil der sozialen Krankheit unserer Gesellschaft"		4	1	445
577	2	5	8	346	420	Die Schülerinnen und Schüler\n\n• werden für das Thema Gewalt sensibilisiert		-1	1	488
578	2	5	8	530	589	reflektieren eigene Erfahrungen mit Aggressionen und Gewalt		-1	1	499
579	2	7	8	739	796	Besonders Schulen spüren diese Erschütterung des Friedens		-1	1	510
580	2	7	8	1342	1448	Terroranschläge auf die Vereinigten Staaten von Amerika lösten eine erhebliche Akutkrise in aller Welt aus		-1	1	515
581	2	7	8	3378	3436	Wie reagieren Kinder und Jugendliche auf Krisensituationen		-1	1	516
582	2	7	8	4422	4485	Oft jedoch verbergen gerade Jugendliche ihre Gefühlswelt hinter		5	1	446
583	2	7	8	4507	4558	Aggressivität oder gar vermeintlicher Herzlosigkeit		5	1	446
584	2	7	8	5969	6051	Fähigkeit zur Selbstkontrolle hilft Kindern, die Kriegssituationen ausgesetzt sind		-1	1	517
585	2	7	8	6679	6742	In Untersuchungen wurde nämlich festgestellt, dass Kinder trotz		6	1	447
586	2	7	8	6760	6834	 Gewalterfahrungen weniger leiden, wenn sie bei den Eltern bleiben können 		6	1	447
588	2	7	8	7068	7185	Es stellte sich außerdem heraus, dass Kinder, deren Eltern mit ihnen über Krisen- und Katastrophensituationen redeten		7	1	448
589	2	7	8	7217	7268	die Situation dann viel besser verarbeiten konnten.		7	1	448
590	2	7	8	14264	14321	Auf keinen Fall aber soll man vor Kindern von Krieg reden		-1	1	456
591	2	7	8	17512	17530	Wer ist betroffen?		-1	1	457
592	2	7	8	17553	17578	Wer braucht welche Hilfe?		-1	1	458
593	2	8	8	11	73	Unter Schülerinnen und Schülern kommt es oftmals zu Konflikten		-1	1	459
594	2	8	8	88	126	existieren gezielte Trainingsprogramme		-1	1	460
595	2	8	8	1996	2078	 Der Vermittler sorgt dafür, dass die Streithähne ihre unterschiedliche Auffassung		8	1	450
596	2	8	8	2104	2124	deutlich formulieren		8	1	450
597	2	8	8	2553	2598	 Beide müssen mit den Lösungen leben können. 		-1	1	461
598	2	8	8	2836	2888	Mit der Vereinbarung verbinden sich Wiedergutmachung		-1	1	462
599	2	8	8	3553	3639	 lohnt sich auch, Elemente eines solchen Programms zum Inhalt von Unterricht zu machen		-1	1	463
600	2	8	8	5315	5352	Die beschriebenen Szenen lassen sich 		9	1	451
