Topic ID	Topic	Link
2	Gewaltpraevention	http://www.schulische-gewaltpraevention.de/
2	Gewaltpraevention	http://www.lehrer-online.de/227111.php
2	Gewaltpraevention	http://jugendrotkreuz.de/kampagnen/bleib-cool/
2	Gewaltpraevention	http://www.schulberatung.bayern.de/schulberatung/bayern/beratung/schulen/index_05865.asp
2	Gewaltpraevention	http://www.bpb.de/izpb/24909/besondere-programme-zur-gewaltpraevention
2	Gewaltpraevention	http://www.schulberatung.bayern.de/schulberatung/bayern/fragen_paed_psy/verhaltensprobleme/index_05447.asp
2	Gewaltpraevention	http://dguv-lug.de/echt_stark.php
2	Gewaltpraevention	http://dguv-lug.de/905127.php?sid=86740258311064283631617361736960
2	Gewaltpraevention	http://www.lehrer-online.de/sek_ii_sucht_und_gewaltpraevention_zivilcourage.php
2	Gewaltpraevention	http://www.dguv-lug.de/gewalt_von_aussen.php
3	Umwelterziehung	http://www4.um.baden-wuerttemberg.de/servlet/is/42140/
3	Umwelterziehung	http://www.ee.architektur.tu-darmstadt.de/ee/startseite/entwerfen_und_energieeffizientes_bauen.de.jsp
3	Umwelterziehung	http://e-politik.de/artikel/2012/wissenswerte-energiewende/
3	Umwelterziehung	https://www.ecocrowd.de/en/projects/24188-Ein-Baum-fur-jedes-Kind
3	Umwelterziehung	http://www.kaufda.de/umwelt/grundschule/
3	Umwelterziehung	https://www.blauer-engel.de/de/news-infos/kinder-schule/schulstart-mit-dem-blauen-engel/schulmaterialien
3	Umwelterziehung	http://www.nachhaltige-entwicklung-bilingual.eu/de/startseite.html
3	Umwelterziehung	http://www.greenpeace.de/fileadmin/gpd/user_upload/themen/klima/Bildungsmaterial_internationaler_Klimaschutz.pdf
3	Umwelterziehung	http://www.ufz.de/index.php?de=17465
3	Umwelterziehung	https://www.greenpeace.de/zukunft-bildung
4	Gesunde-Ernaehrung	http://www.lehrer-online.de/fruehstueck.php
4	Gesunde-Ernaehrung	http://www.lehrer-online.de/themenpark-ernaehrung.php
4	Gesunde-Ernaehrung	http://www.schuleundgesundheit.de/themen/ernaehrungs-verbraucherbildung.html
4	Gesunde-Ernaehrung	http://www.peta.de/veggiefuehrerschein#.VdHMiPmqqkp
4	Gesunde-Ernaehrung	http://www.greenpeace.de/themen/umweltbildung/neues-bildungsmaterial-iss-gut-jetzt
4	Gesunde-Ernaehrung	http://www.dguv-lug.de/ernaehrung_dickmacher_im_griff.php
4	Gesunde-Ernaehrung	http://www.aid.de/lernen/ernaehrungsfuehrerschein.php
4	Gesunde-Ernaehrung	http://dguv-lug.de/primar_gesunde_ernaehrung_rund_um_den_apfel.php
4	Gesunde-Ernaehrung	http://dguv-lug.de/887271.php
4	Gesunde-Ernaehrung	http://dguv-lug.de/1073403.php
4	Gesunde-Ernaehrung	http://www.aid.de/lernen/schmexperten_lernkueche.php
4	Gesunde-Ernaehrung	http://www.dguv-lug.de/1017345.php
4	Gesunde-Ernaehrung	http://www.dguv-lug.de/sek_i_ernaehrung_und_verbraucherbildung_fastfood.php
5	Quereinsteiger-Seiteneinsteiger-In-Die-Lehre	http://www.mk.niedersachsen.de/portal/live.php?navigation_id=26154&article_id=89031&_psmand=8
5	Quereinsteiger-Seiteneinsteiger-In-Die-Lehre	https://verwaltung.hessen.de/irj/HKM_Internet?cid=e05ca67efa282ae1480bfe098c882f68
5	Quereinsteiger-Seiteneinsteiger-In-Die-Lehre	http://www.schleswig-holstein.de/DE/Fachinhalte/S/stellenmarkt_schule/querSeitenEinstieg.html
5	Quereinsteiger-Seiteneinsteiger-In-Die-Lehre	http://www.mbjs.brandenburg.de/sixcms/detail.php/bb1.c.334262.de
5	Quereinsteiger-Seiteneinsteiger-In-Die-Lehre	https://www.schulministerium.nrw.de/docs/LehrkraftNRW/Anerkennungsverfahren/SeiteneinstiegBeruf/index.html
6	Reform-des-dualen-Systems	https://www.bmbf.de/de/das-aufstiegsstipendium-882.html
6	Reform-des-dualen-Systems	http://www.bwpat.de/
6	Reform-des-dualen-Systems	http://www.bmbf.de/de/1644.php
6	Reform-des-dualen-Systems	http://www.foraus.de/html/
6	Reform-des-dualen-Systems	https://www.bibb.de/veroeffentlichungen/de/publication/seriesitem/id/3
6	Reform-des-dualen-Systems	https://www.bibb.de/berufe
6	Reform-des-dualen-Systems	http://www.vlw.de/veroeffentlichungen/aktuelle-ausgabe/
6	Reform-des-dualen-Systems	http://www.iab.de/de/publikationen/kurzbericht.aspx
6	Reform-des-dualen-Systems	http://www.iwkoeln.de/infodienste/iw-nachrichten/beitrag/asylpolitik-fakten-zur-fluechtlingsdebatte-236900
6	Reform-des-dualen-Systems	http://bildungspraxis.de/
7	Mediation-Streitschlichtung	http://www.lehrer-online.de/1021709.php
7	Mediation-Streitschlichtung	http://www.dguv-lug.de/ich_und_wir.php
7	Mediation-Streitschlichtung	http://www.dguv-lug.de/achtsamer_dialog.php
7	Mediation-Streitschlichtung	http://www.hamburg.de/gewaltpraevention/veranstaltungen/
7	Mediation-Streitschlichtung	https://www.jrk-nordrhein.de/schularbeit_streitschlichter+&cd=1&hl=de&ct=clnk&gl=de
7	Mediation-Streitschlichtung	http://www.kopernikus.be.schule.de/infos/mediation.html
7	Mediation-Streitschlichtung	http://www.petervischerschule.de/beratung-und-hilfe/mediatoren-streitschlichter.html
8	Deutscher-Qualifikationsrahmen	http://www.produktive-medienarbeit.de/ressourcen/bibliothek/fachartikel/schill_tulodziecki_wagner_handeln.shtml
8	Deutscher-Qualifikationsrahmen	http://www.dqr.de/
8	Deutscher-Qualifikationsrahmen	http://www.arbeitgeber.de/www/arbeitgeber.nsf/id/DE_Deutscher_Qualifikationsrahmen
8	Deutscher-Qualifikationsrahmen	https://www.bmbf.de/de/der-deutsche-qualifikationsrahmen-fuer-lebenslanges-lernen-1238.html
9	Fachbeitraege-zum-Thema-Lesen	http://www.lesen-in-deutschland.de/html/content.php?object=journal&lid=6 19
9	Fachbeitraege-zum-Thema-Lesen	http://www.querelles-net.de/index.php/qn/article/viewArticle/207/215
9	Fachbeitraege-zum-Thema-Lesen	http://www.hdm-stuttgart.de/ifak/publikationen/ifak/pdfs/Jungen_lesen_anders.pdf
9	Fachbeitraege-zum-Thema-Lesen	http://www.lesen-in-deutschland.de/html/content.php?object=journal&lid=581
9	Fachbeitraege-zum-Thema-Lesen	http://www.bildungsserver.de/innovationsportal/bildungplus.html?artid=355
9	Fachbeitraege-zum-Thema-Lesen	http://www.produktive-medienarbeit.de/ressourcen/bibliothek/fachartikel/schill_tulodziecki_wagner_handeln.shtml
9	Fachbeitraege-zum-Thema-Lesen	http://www.fachdidaktik-einecke.de/4_Literaturdidaktik/lesekompetenz_foerdern_steffens.htm
9	Fachbeitraege-zum-Thema-Lesen	http://www.lesen-in-deutschland.de/html/content.php?object=journal&lid=684
9	Fachbeitraege-zum-Thema-Lesen	http://www.lesen-in-deutschland.de/html/content.php?object=journal&lid=665
9	Fachbeitraege-zum-Thema-Lesen	http://www.lesen-in-deutschland.de/html/content.php?object=journal&lid=652
9	Fachbeitraege-zum-Thema-Lesen	http://www.lesen-in-deutschland.de/html/content.php?object=journal&lid=6 45
9	Fachbeitraege-zum-Thema-Lesen	http://www.lesen-in-deutschland.de/html/content.php
10	Verkuerztes-Abitur-G8-oder-G9	http://www.deutschlandfunk.de/schwerpunktthema-das-g8-faehnchen-im-wind.1180.de.html?dram:article_id=280729
10	Verkuerztes-Abitur-G8-oder-G9	http://www.thueringen.de/th2/tmbjs/bildung/schulwesen/schulsystem/gymnasium/
10	Verkuerztes-Abitur-G8-oder-G9	http://www.mk.niedersachsen.de/portal/live.php?navigation_id=34581&article_id=123195&_psmand=8
10	Verkuerztes-Abitur-G8-oder-G9	https://kultusministerium.hessen.de/schule/schulformen/gymnasium/wahlfreiheit-zwischen-g8-und-g9
10	Verkuerztes-Abitur-G8-oder-G9	http://www.hamburg.de/gymnasium/
10	Verkuerztes-Abitur-G8-oder-G9	http://www.hamburg.de/bsb/pressemitteilungen/4324128/2014-06-06-bsb-g8-g9-debatte/
10	Verkuerztes-Abitur-G8-oder-G9	http://www.mbjs.brandenburg.de/sixcms/detail.php/bb2.c.457066.de
